186,302,3
22,377,1
244,51,2
115,265,2
253,465,5
305,451,3
62,257,2
286,1014,5
200,222,5
210,40,3
224,29,3
122,387,5
194,274,2
119,392,4
167,486,4
299,144,4
95,546,2
38,95,5
102,768,2
63,277,4
160,234,5
50,246,3
301,98,4
290,88,4
181,1081,1
278,603,5
276,796,1
284,304,4
201,979,2
276,564,3
287,327,5
242,1137,5
249,241,5
178,332,3
251,100,4
81,432,2
260,322,4
25,181,5
290,143,5
42,423,5
292,515,4
115,20,3
201,219,4
167,232,1
189,512,4
243,15,3
92,1049,1
194,165,4
241,690,2
178,248,4
293,5,3
127,229,5
299,229,3
276,54,3
222,366,4
267,518,5
42,403,3
11,111,4
95,625,4
8,338,4
162,25,4
279,154,5
145,275,2
119,1153,5
62,498,4
62,382,3
28,209,4
135,23,4
32,294,3
286,208,4
293,685,3
216,144,4
250,496,4
160,174,5
265,118,4
198,498,3
42,96,5
58,144,4
62,21,3
279,832,3
94,789,4
128,485,3
44,195,5
264,200,5
194,385,2
222,750,5
250,264,3
41,265,3
224,245,3
293,471,3
216,658,3
250,140,3
286,379,5
244,815,4
174,368,1
194,1211,2
244,756,2
305,427,5
95,787,2
43,14,2
299,955,4
84,405,3
269,504,4
299,111,3
194,466,4
160,135,4
259,117,4
213,273,5
49,559,2
42,794,3
155,323,2
19,4,4
268,231,4
5,2,3
305,117,2
44,294,4
43,137,4
279,1336,1
80,466,5
279,1240,1
66,298,4
18,443,3
268,1035,2
222,755,4
200,673,5
119,328,4
213,172,5
276,322,3
94,1217,3
38,328,4
160,719,3
293,1267,3
92,1079,3
256,452,4
1,61,4
56,755,3
92,77,3
207,476,2
292,174,5
251,748,2
224,26,3
181,220,4
259,255,4
305,471,4
148,408,5
125,235,2
58,1098,4
83,234,4
272,178,5
194,181,3
125,478,4
299,14,4
151,10,5
269,127,4
54,106,3
16,944,1
301,790,4
276,1091,3
305,214,2
194,1028,2
294,109,4
286,171,4
200,318,5
229,328,1
178,568,4
62,65,4
207,591,3
92,172,4
301,401,4
70,746,3
63,242,3
28,201,3
279,68,4
250,7,4
299,1018,3
194,54,3
119,237,5
295,218,5
268,930,2
268,2,2
66,258,4
233,202,5
83,623,4
214,334,3
100,344,4
268,145,1
301,56,4
307,89,5
83,576,4
181,264,2
297,133,4
38,153,5
264,813,4
181,872,1
201,146,1
269,367,3
286,143,4
193,96,1
292,11,5
275,98,4
189,520,5
219,82,1
218,209,5
119,222,5
222,118,4
279,501,3
301,79,5
181,3,2
201,695,1
1,189,3
145,237,5
23,385,4
201,767,4
42,546,3
33,872,3
301,554,3
16,64,5
95,135,3
154,357,4
77,484,5
244,673,3
222,77,4
16,705,5
145,15,2
187,64,5
200,304,5
184,218,3
128,204,4
181,1295,1
184,153,3
1,33,4
1,160,4
184,321,5
54,595,3
94,343,4
128,508,4
23,323,2
301,227,3
301,191,3
112,903,1
222,724,3
218,430,3
215,212,2
69,256,5
276,2,4
104,984,1
63,1067,3
267,410,4
240,879,3
286,237,2
294,271,5
18,26,4
92,229,3
191,302,4
200,96,5
16,197,5
61,678,3
275,597,3
222,151,3
207,258,4
272,1393,2
207,1115,2
299,577,3
305,425,4
49,959,2
94,1224,3
203,321,3
191,286,4
43,323,3
21,558,5
194,66,3
269,522,5
94,265,4
268,62,3
272,12,5
134,286,3
180,462,5
104,117,2
38,758,1
269,845,1
275,405,2
102,823,3
178,731,4
256,781,5
244,186,3
279,1181,4
43,815,4
83,78,2
151,197,5
109,631,3
297,716,3
249,188,4
301,604,4
64,392,3
92,501,2
222,97,4
268,436,3
293,135,5
213,173,5
160,460,2
5,17,4
125,163,5
174,315,5
114,505,3
213,515,4
23,196,2
128,15,4
239,56,4
181,279,1
250,238,4
201,649,3
181,325,2
119,407,3
287,1,5
216,228,3
216,531,4
203,471,4
92,587,3
213,176,4
286,288,5
11,558,3
295,194,4
269,217,2
250,596,5
201,960,2
215,211,4
181,938,1
189,1060,5
1,20,4
299,305,3
187,210,4
222,278,2
214,568,4
293,770,3
285,191,4
96,156,4
115,1067,4
116,350,3
73,480,4
269,246,5
70,431,3
25,357,4
290,50,5
189,526,4
299,303,3
264,294,3
200,365,5
187,135,4
184,187,4
63,289,2
235,185,4
62,712,4
54,742,5
63,762,3
11,732,3
92,168,4
8,550,3
307,174,4
256,849,2
224,77,4
193,869,3
94,184,2
128,371,1
94,720,1
182,845,3
129,873,1
64,381,4
151,176,2
45,25,4
193,879,3
276,922,4
276,57,3
181,306,1
21,370,1
293,249,3
264,721,5
276,142,3
268,824,2
109,8,3
198,58,3
230,680,4
181,741,1
193,941,4
128,603,5
126,905,2
244,265,4
305,71,3
119,382,5
21,222,2
280,508,3
288,132,3
279,1497,2
301,33,4
94,744,4
56,121,5
62,12,4
276,40,3
181,1015,1
152,301,3
178,845,4
217,597,4
79,303,4
75,284,2
269,198,4
307,94,3
222,781,3
269,22,1
230,742,5
269,507,4
239,1099,5
245,1028,5
56,546,3
295,961,5
222,812,2
69,240,3
22,376,3
294,931,3
279,399,4
269,234,1
243,1039,4
282,325,1
78,323,1
118,200,5
283,1114,5
70,217,4
245,181,4
107,333,3
276,70,4
244,17,2
189,56,5
226,242,5
62,1016,4
276,417,4
214,478,4
222,26,3
280,631,5
56,71,4
42,274,5
1,202,5
280,540,3
244,381,4
178,317,4
178,742,3
95,1217,3
109,127,2
269,705,2
264,655,4
207,13,3
42,588,5
256,127,4
92,794,3
181,762,2
213,235,1
92,739,2
292,661,5
18,86,4
5,439,1
193,407,4
5,225,2
22,128,5
311,432,4
8,22,5
276,188,4
222,173,5
299,134,4
1,171,5
222,49,3
181,121,4
200,11,5
244,707,4
134,323,4
279,586,4
288,593,2
49,302,4
286,153,5
22,80,4
268,147,4
94,1220,3
268,217,2
16,55,5
290,161,4
92,515,4
239,1070,5
56,449,5
248,234,4
280,1049,2
276,64,5
122,509,4
201,272,3
181,870,2
295,739,4
295,39,4
201,1100,4
159,1028,5
293,423,3
276,181,5
217,2,3
83,660,4
189,20,5
222,796,4
267,121,3
126,294,3
181,1060,1
125,80,4
43,120,4
253,259,2
42,44,3
77,518,4
268,21,3
156,661,4
37,288,4
235,230,4
102,70,3
77,172,3
186,566,5
44,660,5
118,774,5
49,1003,2
62,68,1
42,1028,4
178,433,4
77,474,5
58,1099,2
56,1047,4
286,99,4
181,1288,1
295,190,4
224,69,4
272,317,4
66,877,1
207,318,5
44,449,5
194,172,3
94,62,3
167,659,4
230,304,5
181,927,1
54,302,4
181,696,2
286,357,4
311,179,2
92,121,5
21,440,1
244,550,1
181,405,4
37,540,2
44,443,5
244,183,4
1,265,4
299,387,2
94,572,3
286,746,4
239,272,5
216,55,5
62,665,2
178,385,4
194,23,4
268,955,3
276,294,4
207,845,3
305,654,4
64,736,4
191,751,3
69,268,5
21,129,4
58,9,4
194,152,3
95,233,4
16,194,5
311,654,3
292,589,4
43,203,4
79,50,4
235,70,5
125,190,5
284,322,3
255,1034,1
104,301,2
279,122,1
286,298,4
222,448,3
297,57,5
42,625,3
109,475,1
230,1444,2
244,310,3
256,443,3
102,515,1
104,285,4
21,447,5
18,408,5
25,222,4
83,215,4
128,317,4
305,512,4
184,412,2
286,175,5
279,1428,3
256,86,5
140,332,3
190,977,2
11,227,3
201,203,5
126,245,3
181,930,1
109,566,4
213,133,3
222,379,1
215,421,4
218,208,3
174,937,5
275,186,3
268,583,4
160,462,4
224,178,4
5,110,1
292,9,4
83,281,5
92,831,2
287,926,4
1,155,2
222,53,5
24,64,5
56,91,4
256,761,4
226,56,4
279,741,5
16,8,5
180,202,3
203,93,4
145,56,5
288,305,4
84,742,3
44,644,3
17,13,3
148,1,4
21,164,5
279,982,3
239,491,5
297,89,4
186,250,1
73,206,3
104,756,2
94,216,3
239,194,5
280,1,4
1,117,3
224,583,1
198,258,4
239,513,5
233,375,4
184,522,3
201,518,4
214,131,3
222,87,3
279,725,4
217,182,2
239,234,3
194,77,3
109,178,3
230,172,4
70,1133,3
62,182,5
198,234,3
174,660,5
100,354,2
283,432,5
275,418,3
311,98,5
269,252,1
286,73,5
56,222,5
210,204,5
239,9,5
96,87,4
297,73,2
249,239,3
94,860,2
84,121,4
275,265,4
135,1046,3
125,382,1
70,399,4
311,9,4
301,523,4
152,685,5
244,172,4
275,1091,2
53,281,4
198,118,2
244,790,4
151,13,3
124,496,1
24,191,5
307,634,3
294,1245,3
25,501,3
293,137,3
201,432,3
75,240,1
207,68,2
276,324,4
145,974,1
83,385,4
181,619,3
109,402,4
207,107,3
149,319,2
230,963,5
176,875,4
253,97,4
284,269,4
62,86,2
84,1033,4
293,380,2
207,58,3
194,187,4
109,97,3
283,845,4
297,275,5
181,334,1
78,255,4
11,425,4
193,1078,4
297,234,3
250,204,2
8,50,5
186,148,4
5,454,1
175,127,5
145,737,2
276,419,5
83,210,5
102,524,3
153,174,1
62,302,3
49,995,3
268,298,3
207,554,2
286,44,3
279,168,5
276,474,5
62,59,4
83,97,4
63,100,5
16,178,5
297,233,2
42,98,4
104,299,3
94,792,4
184,98,4
293,708,3
248,589,4
18,950,3
217,27,1
200,892,4
201,148,1
69,427,3
256,472,4
128,182,4
151,747,3
286,85,5
190,974,2
64,1063,3
145,756,2
220,298,4
21,324,4
285,269,4
207,65,3
198,658,3
220,333,3
210,70,4
181,14,1
75,237,2
199,221,4
297,25,4
276,78,4
299,847,4
293,325,2
301,138,2
1,47,4
96,673,4
233,177,4
214,117,4
184,602,4
277,257,3
194,212,1
95,68,4
25,257,4
38,573,1
22,241,3
66,181,5
21,948,1
181,1332,1
222,22,5
151,703,4
44,258,4
16,89,2
248,117,5
125,318,5
268,386,2
239,96,5
94,155,2
145,355,3
280,845,3
178,199,4
307,949,4
116,331,3
23,258,5
118,654,5
194,239,3
94,24,4
122,378,4
154,242,3
83,43,4
174,402,5
256,487,5
244,53,3
250,196,4
43,40,3
285,150,5
42,953,2
122,510,4
61,323,3
222,106,2
4,264,3
304,259,1
37,403,5
49,68,1
176,324,5
3,335,1
56,869,3
44,15,4
190,117,4
94,174,4
19,435,5
194,191,4
56,447,4
181,1334,1
214,137,4
92,747,4
58,173,5
244,154,5
134,879,4
230,138,3
16,209,5
151,835,5
181,1327,1
145,1248,3
200,588,5
248,257,3
297,432,4
151,12,5
305,483,5
44,240,4
186,263,3
214,213,4
233,208,4
104,287,2
1,222,4
230,419,4
